size,buildingType,standardized_layout,rent,elevator,siteOwner,rent_out_time,totalFloors,totalApartments,buildingYear,property_id,age,rent_per_size
75.0,kerrostalo,3.0,985.0,On,Oma,75.0,75.0,27.0,1995.0,83720700000000.0,28.0,13.133333333333333
41.5,kerrostalo,1.0,600.0,On,Oma,41.5,41.5,27.0,1995.0,83720700000000.0,28.0,14.457831325301205
75.0,kerrostalo,3.0,942.0,On,Oma,75.0,75.0,27.0,1995.0,83720700000000.0,28.0,12.56
75.0,kerrostalo,3.0,942.0,On,Oma,75.0,75.0,27.0,1995.0,83720700000000.0,28.0,12.56
51.0,kerrostalo,2.0,692.0,On,Oma,51.0,51.0,27.0,1995.0,83720700000000.0,28.0,13.568627450980392
57.0,kerrostalo,2.0,764.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.403508771929825
51.0,kerrostalo,2.0,692.0,On,Oma,51.0,51.0,27.0,1995.0,83720700000000.0,28.0,13.568627450980392
57.0,kerrostalo,2.0,749.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.140350877192983
60.0,kerrostalo,2.0,779.0,On,Oma,60.0,60.0,27.0,1995.0,83720700000000.0,28.0,12.983333333333333
57.0,kerrostalo,2.0,775.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.596491228070175
51.0,kerrostalo,2.0,698.0,On,Oma,51.0,51.0,27.0,1995.0,83720700000000.0,28.0,13.686274509803921
51.0,kerrostalo,2.0,688.0,On,Oma,51.0,51.0,27.0,1995.0,83720700000000.0,28.0,13.490196078431373
57.0,kerrostalo,2.0,795.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.947368421052632
57.0,kerrostalo,2.0,769.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.491228070175438
75.0,kerrostalo,3.0,930.0,On,Oma,75.0,75.0,27.0,1995.0,83720700000000.0,28.0,12.4
51.0,kerrostalo,2.0,686.0,On,Oma,51.0,51.0,27.0,1995.0,83720700000000.0,28.0,13.450980392156863
41.5,kerrostalo,1.0,614.0,On,Oma,41.5,41.5,27.0,1995.0,83720700000000.0,28.0,14.795180722891565
51.0,kerrostalo,2.0,692.0,On,Oma,51.0,51.0,27.0,1995.0,83720700000000.0,28.0,13.568627450980392
57.0,kerrostalo,2.0,757.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.280701754385966
57.0,kerrostalo,2.0,764.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.403508771929825
75.0,kerrostalo,3.0,942.0,On,Oma,75.0,75.0,27.0,1995.0,83720700000000.0,28.0,12.56
60.0,kerrostalo,2.0,789.0,On,Oma,60.0,60.0,27.0,1995.0,83720700000000.0,28.0,13.15
57.0,kerrostalo,2.0,749.0,On,Oma,57.0,57.0,27.0,1995.0,83720700000000.0,28.0,13.140350877192983
75.0,kerrostalo,3.0,934.0,On,Oma,75.0,75.0,27.0,1995.0,83720700000000.0,28.0,12.453333333333333
